"geoid","geolevel","year","transportation_score","transportation_rnk","transportation_state_rnk"
"05000US17101","county","2019","94.22","33.6957","32.6733"
"05000US17103","county","2019","98.07","60.6138","56.4356"
"05000US17105","county","2019","95.29","41.8159","39.604"
"05000US17107","county","2019","100.36","71.9629","66.3366"
"05000US17109","county","2019","108.08","90.4092","89.1089"
"05000US17111","county","2019","116.72","95.1726","94.0594"
"05000US17113","county","2019","102.74","81.1381","72.2772"
"05000US17115","county","2019","101.42","76.3747","69.802"
"05000US17117","county","2019","98.55","63.1394","59.4059"
"05000US17119","county","2019","100.81","73.8811","67.3267"
"05000US17121","county","2019","98.82","64.8977","60.396"
"05000US17123","county","2019","91.09","11.5409","8.9109"
"05000US17125","county","2019","95.57","43.702","42.5743"
"05000US17127","county","2019","94.05","32.6407","31.6832"
"05000US17129","county","2019","90.96","10.6138","7.9208"
"05000US17131","county","2019","90.26","7.289","3.9604"
"05000US17133","county","2019","90.01","6.202","2.9703"
"05000US17135","county","2019","91.23","12.1483","9.901"
"05000US17137","county","2019","103.65","83.4399","76.2376"
"05000US17139","county","2019","104.4","85.1662","79.2079"
"05000US17141","county","2019","99.97","70.3005","63.8614"
"05000US17143","county","2019","107","89.4501","86.1386"
"05000US17145","county","2019","95.64","44.4373","43.5644"
"05000US17147","county","2019","94.4","34.9105","33.6634"
"05000US17149","county","2019","97.31","55.8824","52.4752"
"05000US17151","county","2019","94.46","35.3261","34.6535"
"05000US17153","county","2019","102.09","79.0281","71.2871"
"05000US17155","county","2019","88.22","1.8542","0"
"05000US17157","county","2019","98.45","62.7558","58.4158"
"05000US17159","county","2019","92.58","21.0038","19.3069"
"05000US17161","county","2019","105.6","87.5959","81.6832"
"05000US17163","county","2019","107.2","89.7379","88.1188"
"05000US17165","county","2019","95.53","43.4143","41.5842"
"05000US17167","county","2019","106.24","88.4591","84.1584"
"05000US17169","county","2019","94.9","38.8107","38.6139"
"05000US17171","county","2019","92.58","21.0038","19.3069"
"05000US17173","county","2019","95.82","45.9399","48.0198"
"05000US17175","county","2019","93.86","30.8504","29.703"
"05000US17177","county","2019","106","88.1394","83.1683"
"05000US17179","county","2019","99.97","70.3005","63.8614"
"05000US17181","county","2019","91.57","14.0985","11.8812"
"05000US17183","county","2019","103.01","81.7775","73.2673"
"05000US17185","county","2019","92.33","19.4373","16.3366"
"05000US17187","county","2019","114.82","94.3414","92.0792"
"05000US17189","county","2019","93","24.6803","26.7327"
"05000US17191","county","2019","95.76","45.4604","46.5347"
"05000US17193","county","2019","91.5","13.7788","10.8911"
"05000US17195","county","2019","99.25","67.0077","61.3861"
"05000US17197","county","2019","128.8","97.2506","97.0297"
"05000US17199","county","2019","95.73","45.3645","45.5446"
"05000US17201","county","2019","101.42","76.3747","69.802"
"05000US17203","county","2019","96.18","48.7212","49.505"
"05000US18001","county","2019","106.58","88.8427","85.7143"
"05000US18003","county","2019","110.23","91.8798","89.011"
"05000US18005","county","2019","103.02","81.8734","78.022"
"05000US18007","county","2019","92.95","24.3606","37.3626"
"05000US18009","county","2019","95.16","40.7289","57.1429"
"05000US18011","county","2019","95.79","45.6841","58.2418"
"05000US18013","county","2019","92.03","17.2634","26.3736"
"05000US18015","county","2019","91.01","10.9015","20.8791"
"05000US18017","county","2019","95.12","40.5051","56.044"
"05000US18019","county","2019","102.25","79.5716","74.7253"
"05000US18021","county","2019","109.88","91.688","87.9121"
"05000US18023","county","2019","93.04","24.7442","38.4615"
"05000US18025","county","2019","92.86","23.6253","34.0659"
"05000US18027","county","2019","120.51","96.1637","96.7033"
"05000US18029","county","2019","94.88","38.6509","53.8462"
"05000US18031","county","2019","92.63","21.3875","29.6703"
"05000US18033","county","2019","90.7","9.335","17.5824"
"05000US18035","county","2019","105.57","87.532","84.6154"
"05000US18037","county","2019","88.2","1.8223","2.1978"
"05000US18039","county","2019","100.42","72.3146","70.3297"
"05000US18041","county","2019","98.03","60.2302","63.7363"
"05000US18043","county","2019","102.11","79.124","73.6264"
"05000US18045","county","2019","95.01","39.7698","54.9451"
"05000US18047","county","2019","88.88","2.8772","4.3956"
"05000US18049","county","2019","97.93","59.5908","62.6374"
"05000US18051","county","2019","89.46","4.2199","6.5934"
"05000US18053","county","2019","103.26","82.321","79.1209"
"05000US18055","county","2019","89.89","5.7545","10.989"
"05000US18057","county","2019","96.28","49.2967","59.8901"
"05000US18059","county","2019","93.32","27.11","41.7582"
"05000US18061","county","2019","89.7","5.211","9.8901"
"05000US18063","county","2019","94.21","33.6637","48.3516"
"05000US18065","county","2019","94.66","36.9246","51.6484"
"05000US18067","county","2019","100.43","72.4105","71.4286"
"05000US18069","county","2019","103.92","84.1113","82.4176"
"05000US18071","county","2019","100.35","71.899","68.1319"
"05000US18073","county","2019","90.46","8.2161","14.2857"
"05000US18075","county","2019","100.21","71.3235","67.033"
"05000US18077","county","2019","92.83","23.2737","32.967"
"05000US18079","county","2019","87.85","1.5026","1.0989"
"05000US18081","county","2019","102.85","81.3619","76.9231"
"05000US18083","county","2019","94.35","34.6228","50.5495"
"05000US18085","county","2019","96.28","49.2967","59.8901"
"05000US18087","county","2019","136.91","97.954","100"
"05000US18089","county","2019","124.26","96.7391","97.8022"
"05000US18091","county","2019","114.88","94.3734","93.4066"
"05000US18093","county","2019","90.53","8.4719","15.3846"
"05000US18095","county","2019","113.8","94.0217","91.2088"
"05000US18097","county","2019","105.01","86.2532","83.5165"
"05000US18099","county","2019","116.04","95.0448","94.5055"
"05000US18101","county","2019","90.43","8.0882","13.1868"
"05000US18103","county","2019","103.28","82.3849","80.2198"
"05000US18105","county","2019","113.99","94.1816","92.3077"
"05000US18107","county","2019","93.86","30.8504","47.2527"
"05000US18109","county","2019","94.31","34.3031","49.4505"
"05000US18111","county","2019","92.36","19.6931","28.5714"
"05000US18113","county","2019","93.69","29.5716","46.1538"
"05000US18115","county","2019","92.08","17.743","27.4725"
"05000US18117","county","2019","100.41","72.2187","69.2308"
"05000US18119","county","2019","91.19","11.8926","21.978"
"05000US18121","county","2019","99.35","67.2954","64.8352"
"05000US18123","county","2019","90.27","7.3849","12.0879"
"05000US18125","county","2019","88.69","2.4297","3.2967"
"05000US18127","county","2019","111.29","92.9028","90.1099"
"05000US18129","county","2019","89.04","3.3248","5.4945"
"05000US18131","county","2019","91.37","12.7877","23.0769"
"05000US18133","county","2019","93.26","26.7583","40.6593"
"05000US18135","county","2019","93.61","28.9962","43.956"
"05000US18137","county","2019","90.77","9.6228","18.6813"
"05000US18139","county","2019","109.06","91.1125","86.8132"
